,Symbol,Name,Stock Exchange,RBICS Economy,Sales,MSCI ESG Rtg Score Environmental,MSCI ESG Rtg Score Governance,MSCI ESG Rtg Score Social,MSCI ESG Rtg Overall Company Rating,ESG Rating
1323,TPRE,Third Point Reinsurance Ltd.,NYSE,Finance,664.3,3.5,6.7,3.1,B,Low
1324,TPX,Tempur Sealy International Inc,NYSE,Consumer Non-Cyclicals,"3,179.9",5.6,5.0,3.2,BB,Low
1325,TR,"Tootsie Roll Industries, Inc.",NYSE,Consumer Non-Cyclicals,502.6,2.0,2.7,5.2,B,Low
1326,TREE,"LendingTree, Inc.",NASDAQ,Technology,"1,033.2",6.7,6.6,3.5,B,Low
1327,TREX,"Trex Company, Inc.",NYSE,Non-Energy Materials,780.4,4.7,6.7,7.6,A,High
1328,TRHC,"Tabula Rasa Healthcare, Inc.",NASDAQ,Healthcare,297.2,6.7,5.2,3.8,B,Low
1329,TRIP,"TripAdvisor, Inc.",NASDAQ,Consumer Services,"1,099.0",5.5,3.5,4.1,BBB,Low
1330,TRMB,Trimble Inc.,NASDAQ,Technology,"3,133.8",3.9,6.4,5.7,AA,High
1331,TRMK,Trustmark Corporation,NASDAQ,Finance,645.4,1.7,7.2,3.8,BBB,Low
1332,TRN,"Trinity Industries, Inc.",NYSE,Industrials,"2,788.7",2.8,6.0,4.9,BB,Low
1333,TROW,T. Rowe Price Group,NASDAQ,Finance,"5,773.4",9.7,6.5,5.4,AA,High
1334,TRST,TrustCo Bank Corp NY,NASDAQ,Finance,205.0,5.0,6.1,3.0,BB,Low
1335,TRV,"Travelers Companies, Inc.",NYSE,Finance,"31,418.0",2.6,6.6,5.0,A,High
1336,TSCO,Tractor Supply Company,NASDAQ,Consumer Cyclicals,"9,311.4",2.3,7.6,4.9,A,High
1337,TSE,Trinseo SA,NYSE,Non-Energy Materials,"3,244.0",4.7,7.9,2.1,A,High
1338,TSN,"Tyson Foods, Inc. Class A",NYSE,Consumer Non-Cyclicals,"42,604.0",2.3,5.0,4.2,BB,Low
1339,TT,Trane Technologies plc,NYSE,Industrials,"14,316.1",7.4,6.8,6.3,AAA,High
1340,TTC,Toro Company,NYSE,Industrials,"3,257.2",4.6,6.0,6.0,A,High
1341,TTEC,"TTEC Holdings, Inc.",NASDAQ,Technology,"1,742.6",8.0,6.7,3.4,BBB,Low
1342,TTEK,"Tetra Tech, Inc.",NASDAQ,Industrials,"3,083.0",10.0,7.4,5.4,A,High
1343,TTGT,"TechTarget, Inc.",NASDAQ,Technology,135.9,6.7,5.1,2.9,B,Low
1344,TTMI,"TTM Technologies, Inc.",NASDAQ,Technology,"2,504.0",2.7,5.9,4.8,BBB,Low
1345,TTWO,"Take-Two Interactive Software, Inc.",NASDAQ,Technology,"3,379.8",6.7,6.6,4.4,BBB,Low
1346,TUP,Tupperware Brands Corporation,NYSE,Consumer Non-Cyclicals,"1,608.6",,,,@NA,Low
1347,TVTY,"Tivity Health, Inc.",NASDAQ,Healthcare,"1,176.9",5.9,3.8,6.4,AA,High
1348,TWI,"Titan International, Inc.",NYSE,Industrials,"1,275.3",,,,@NA,Low
1349,TWTR,"Twitter, Inc.",NYSE,Technology,"3,322.1",5.5,6.1,1.5,BB,Low
1350,TXN,Texas Instruments Incorporated,NASDAQ,Technology,"13,689.0",6.3,5.6,7.7,AA,High
1351,TXRH,"Texas Roadhouse, Inc.",NASDAQ,Consumer Services,"2,504.7",4.4,6.4,3.7,B,Low
1352,TXT,Textron Inc.,NYSE,Industrials,"12,543.0",3.2,5.0,4.0,BBB,Low
1353,TYL,"Tyler Technologies, Inc.",NYSE,Business Services,"1,111.9",3.9,4.9,4.8,BBB,Low
1354,UAA,"Under Armour, Inc. Class A",NYSE,Consumer Cyclicals,"4,494.7",4.7,3.7,5.1,BBB,Low
1355,UAL,"United Airlines Holdings, Inc.",NASDAQ,Industrials,"31,722.0",,,,@NA,Low
1356,UBA,Urstadt Biddle Properties Inc. Class A,NYSE,Finance,137.0,6.3,2.3,3.4,B,Low
1357,UBSI,"United Bankshares, Inc.",NASDAQ,Finance,945.0,1.1,6.5,3.8,BB,Low
1358,UCBI,"United Community Banks, Inc.",NASDAQ,Finance,660.0,1.3,7.3,2.9,BB,Low
1359,UCTT,"Ultra Clean Holdings, Inc.",NASDAQ,Technology,"1,206.4",3.1,6.5,4.5,BB,Low
1360,UDR,"UDR, Inc.",NYSE,Finance,"1,289.5",6.2,5.6,5.6,A,High
1361,UE,Urban Edge Properties,NYSE,Finance,341.1,3.3,4.3,0.8,CCC,Low
1362,UEIC,Universal Electronics Inc.,NASDAQ,Technology,680.3,0.1,3.6,5.1,B,Low
1363,UFCS,"United Fire Group, Inc.",NASDAQ,Finance,"1,067.0",2.3,6.7,2.0,B,Low
1364,UFI,"Unifi, Inc.",NYSE,Non-Energy Materials,606.5,,,,@NA,Low
1365,UFPI,"UFP Industries, Inc.",NASDAQ,Non-Energy Materials,"4,435.1",4.4,7.5,4.7,BB,Low
1366,UFS,Domtar Corporation,NYSE,Non-Energy Materials,"4,817.0",4.1,6.9,6.2,A,High
1367,UGI,UGI Corporation,NYSE,Energy,"6,572.9",5.5,6.2,6.7,A,High
1368,UHS,"Universal Health Services, Inc. Class B",NYSE,Healthcare,"11,278.1",6.5,2.8,3.1,CCC,Low
1369,UHT,Universal Health Realty Income Trust,NYSE,Finance,77.2,2.7,7.0,3.5,B,Low
1370,UIHC,United Insurance Holdings Corp.,NASDAQ,Finance,804.8,4.0,5.6,1.9,B,Low
1371,UIS,Unisys Corporation,NYSE,Technology,"2,453.3",4.1,5.7,2.9,B,Low
1372,ULTA,Ulta Beauty Inc,NASDAQ,Consumer Non-Cyclicals,"6,828.2",1.1,6.2,3.1,BB,Low
1373,UMBF,UMB Financial Corporation,NASDAQ,Finance,"1,272.0",2.0,6.7,4.3,BBB,Low
1374,UMPQ,Umpqua Holdings Corporation,NASDAQ,Finance,"1,446.3",1.8,7.5,4.0,BBB,Low
1375,UNF,UniFirst Corporation,NYSE,Business Services,"1,855.0",7.4,5.6,6.9,A,High
1376,UNFI,"United Natural Foods, Inc.",NYSE,Consumer Non-Cyclicals,"25,232.0",4.0,6.0,5.6,AA,High
1377,UNH,UnitedHealth Group Incorporated,NYSE,Healthcare,"247,811.0",10.0,3.7,3.4,BB,Low
1378,UNIT,Uniti Group Inc,NASDAQ,Finance,"1,059.5",6.2,4.8,5.4,BBB,Low
1379,UNM,Unum Group,NYSE,Finance,"11,950.1",6.5,6.7,3.5,BB,Low
1380,UNP,Union Pacific Corporation,NYSE,Industrials,"20,201.0",5.4,6.3,2.9,BBB,Low
1381,UNVR,"Univar Solutions, Inc.",NYSE,Industrials,"8,762.7",2.7,5.9,4.7,B,Low
1382,UPS,"United Parcel Service, Inc. Class B",NYSE,Industrials,"77,130.0",9.4,4.5,3.9,BBB,Low
1383,URBN,"Urban Outfitters, Inc.",NASDAQ,Consumer Cyclicals,"3,707.9",3.3,6.4,3.6,BB,Low
1384,URI,"United Rentals, Inc.",NYSE,Industrials,"9,008.0",3.3,6.3,6.7,BBB,Low
1385,USB,U.S. Bancorp,NYSE,Finance,"24,773.0",4.5,5.7,3.6,BB,Low
1386,USCR,"U.S. Concrete, Inc.",NASDAQ,Non-Energy Materials,"1,435.2",5.3,7.0,4.6,A,High
1387,USNA,"USANA Health Sciences, Inc.",NYSE,Healthcare,"1,057.5",3.8,7.3,4.5,BB,Low
1388,USPH,"U.S. Physical Therapy, Inc.",NYSE,Healthcare,435.9,5.9,4.6,5.2,A,High
1389,UTHR,United Therapeutics Corporation,NASDAQ,Healthcare,"1,430.9",4.2,2.6,5.0,B,Low
1390,UVE,"Universal Insurance Holdings, Inc.",NYSE,Finance,960.2,4.5,6.7,2.2,BB,Low
1391,UVV,Universal Corp,NYSE,Consumer Non-Cyclicals,"1,928.9",3.0,5.4,2.7,BBB,Low
